fi	sv	en
Eduskunnan lisärakennuksen auditorio		auditoriet i Lilla parlamentet
Eduskunnan lisärakennuksen auditorio		auditoriet i riksdagens tillbyggnad
Eduskunnan lisärakennuksen auditorio	Pikkuparlamentti Auditorium	
Eduskunnan lisärakennuksen auditorio	auditorium of the Parliament Annex	
Eduskunnan lisärakennuksen ravintola		Lilla parlamentets restaurang
Eduskunnan lisärakennuksen ravintola		restaurangen i riksdagens tillbyggnad
Eduskunnan lisärakennuksen ravintola	Pikkuparlamentti Restaurant	
Eduskunnan lisärakennuksen ravintola	restaurant of the Parliament Annex	
Eduskunnan lisärakennus		F-huset
Eduskunnan lisärakennus		Lilla parlamentet
Eduskunnan lisärakennus		hus F
Eduskunnan lisärakennus		riksdagens tillbyggnad
Eduskunnan lisärakennus	Building F	
Eduskunnan lisärakennus	Little Parliament	
Eduskunnan lisärakennus	Pikkuparlamentti	
Eduskunnan oikeusasiamiehen kanslia		JO:s kansli
Eduskunnan oikeusasiamiehen kanslia		riksdagens justitieombudsmans kansli
Eduskunnan oikeusasiamiehen kanslia	Office of the Parliamentary Ombudsman	
Eduskuntaravintola		restaurangen
Eduskuntaravintola		riksdagens restaurang
Eduskuntaravintola	Parliament Restaurant	
Eduskuntatalo		E-huset
Eduskuntatalo		Riksdagshuset
Eduskuntatalo		hus E
Eduskuntatalo		huvudbyggnaden
Eduskuntatalo		riksdagens huvudbyggnad
Eduskuntatalo	Building E	
Eduskuntatalo	Eduskuntatalo	
Eduskuntatalo	Parliament Building	
Eduskuntatalon kahvila		riksdagshusets kafé
Eduskuntatalon kahvila		riksdagskaféet
Eduskuntatalon kahvila	Parliament Cafeteria	
Eduskuntatalon laajennus		riksdagens annex
Eduskuntatalon laajennus	Parliament Building Annex	
Eduskuntatalon laajennusosa		riksdagens annex
Eduskuntatalon laajennusosa	Parliament Building Annex	
Euroopan neuvoston Suomen valtuuskunnan kertomus		berättelse från Finlands delegation i Europarådet
Euroopan neuvoston Suomen valtuuskunnan kertomus	Report of the Finnish Delegation to the Council of Europe	
Euroopan neuvoston Suomen valtuuskunta		ERFD
Euroopan neuvoston Suomen valtuuskunta		Finlands delegation i Europarådet
Euroopan neuvoston Suomen valtuuskunta	Finnish Delegation to the Council of Europe	
Euroopan neuvoston parlamentaarinen yleiskokous		Europarådets parlamentariska församling
Euroopan neuvoston parlamentaarinen yleiskokous	PACE	
Euroopan neuvoston parlamentaarinen yleiskokous	Parliamentary Assembly of the Council of Europe	
Euroopan turvallisuus- ja yhteistyöjärjestön parlamentaarinen yleiskokous		OSSE:s parlamentariska församling
Euroopan turvallisuus- ja yhteistyöjärjestön parlamentaarinen yleiskokous		Parlamentariska församlingen för Organisationen för säkerhet och samarbete i Europa
Euroopan turvallisuus- ja yhteistyöjärjestön parlamentaarinen yleiskokous	Parliamentary Assembly of OSCE	
Euroopan turvallisuus- ja yhteistyöjärjestön parlamentaarinen yleiskokous	Parliamentary Assembly of the Organisation for Security and Co-operation in Europe	
Euroopan turvallisuus- ja yhteistyöjärjestön parlamentaarisen yleiskokouksen Suomen valtuuskunnan kertomus		berättelse av Finlands delegation i Organisationen för säkerhet och samarbete i Europa om verksamheten i OSSE:s parlamentariska församling
Euroopan turvallisuus- ja yhteistyöjärjestön parlamentaarisen yleiskokouksen Suomen valtuuskunnan kertomus	Report of the Finnish Delegation to the OSCE Parliamentary Assembly	
Euroopan turvallisuus- ja yhteistyöjärjestön parlamentaarisen yleiskokouksen Suomen valtuuskunnan kertomus	Report of the Finnish Delegation to the Parliamentary Assembly of the Organization for Security and Co-operation in Europe	
Euroopan turvallisuus- ja yhteistyöjärjestön parlamentaarisen yleiskokouksen Suomen valtuuskunta		Finlands delegation i OSSE:s parlamentariska församling
Euroopan turvallisuus- ja yhteistyöjärjestön parlamentaarisen yleiskokouksen Suomen valtuuskunta		OSSEFD
Euroopan turvallisuus- ja yhteistyöjärjestön parlamentaarisen yleiskokouksen Suomen valtuuskunta	Finnish Delegation to the OSCE Parliamentary Assembly	
Euroopan turvallisuus- ja yhteistyöjärjestön parlamentaarisen yleiskokouksen Suomen valtuuskunta	Finnish Delegation to the Parliamentary Assembly of the Organisation for Security and Co-operation in Europe	
Euroopan unionin asioiden kansallinen käsittely		nationell beredning av EU-frågor
Euroopan unionin asioiden kansallinen käsittely		nationell beredning av frågor som kommer upp i EU
Euroopan unionin asioiden kansallinen käsittely	national preparation of the matters to be deliberated in the European Union	
Euroopan unionin kansanedustuslaitosten yhteisö- ja Eurooppa-asioiden valiokuntien konferenssi		Cosac
Euroopan unionin kansanedustuslaitosten yhteisö- ja Eurooppa-asioiden valiokuntien konferenssi		Konferensen mellan organen för gemenskaps- och EU-frågor vid Europeiska unionens parlament
Euroopan unionin kansanedustuslaitosten yhteisö- ja Eurooppa-asioiden valiokuntien konferenssi	COSAC	
Euroopan unionin kansanedustuslaitosten yhteisö- ja Eurooppa-asioiden valiokuntien konferenssi	Conference of Community and European Affairs Committees of Parliaments of the European Union	
Euroopan unionin ylikansallinen päätösvalta		Europeiska unionens övernationella beslutsbefogenheter
Euroopan unionin ylikansallinen päätösvalta	supranational decision-making powers of the European Union	
Eurooppa-valiokuntien konferenssi		Cosac
Eurooppa-valiokuntien konferenssi		Konferensen mellan organen för gemenskaps- och EU-frågor vid Europeiska unionens parlament
Eurooppa-valiokuntien konferenssi	COSAC	
Eurooppa-valiokuntien konferenssi	Conference of Community and European Affairs Committees of Parliaments of the European Union	
Euro—Välimeri- parlamentaarisen yleiskokouksen Suomen valtuuskunta		Finlands delegation i den parlamentariska församlingen för Europa-Medelhavsområdet
Euro—Välimeri- parlamentaarisen yleiskokouksen Suomen valtuuskunta	Finnish Delegation to the Euro-Mediterranean Parliamentary Assembly	
F-rakennus		F-huset
F-rakennus		Lilla parlamentet
F-rakennus		hus F
F-rakennus		riksdagens tillbyggnad
F-rakennus	Building F	
F-rakennus	Little Parliament	
F-rakennus	Pikkuparlamentti	
F-talo		F-huset
F-talo		Lilla parlamentet
F-talo		hus F
F-talo		riksdagens tillbyggnad
F-talo	Building F	
F-talo	Little Parliament	
F-talo	Pikkuparlamentti	
HE		RP
HE		proposition
HE		proposition från regeringen
HE		propp
HE		regeringens proposition
HE		regeringsproposition
HE	government proposal	
HK		RS
HK		regeringens skrivelse
HK		skrivelse av regeringen
HK		skrivelse från regeringen
HK	government communication	
HaV		FvU
HaV		förvaltningsutskottet
HaV	Administration Committee	
Harmaa naisten huone		Grå damrummet
Harmaa naisten huone	Grey Room	
HtJ		FsD
HtJ		förvaltnings- och säkerhetsdelegationen
HtJ	Administration and Security Sub-committee	
IPU		IPU
IPU		Interparlamentariska unionen
IPU	IPU	
IPU	Inter-Parliamentary Union	
IPU:n Suomen ryhmän johtokunta		styrelsen för Finlands IPU-grupp
IPU:n Suomen ryhmän johtokunta		styrelsen för Finlands grupp i Interparlamentariska unionen
IPU:n Suomen ryhmän johtokunta	Executive Board of the Finnish Group of the Inter-Parliamentary Union IPU	
Ihmisoikeuskeskus		Människorättscentret
Ihmisoikeuskeskus	Human Rights Centre	
Itämeren parlamentaarikkokonferenssi		Parlamentariska Östersjökonferensen
Itämeren parlamentaarikkokonferenssi	BSPC	
Itämeren parlamentaarikkokonferenssi	Baltic Sea Parliamentary Conference	
Itämeren parlamentaarikkokonferenssin Suomen valtuuskunta		Finlands delegation i Parlamentariska Östersjökonferensen
Itämeren parlamentaarikkokonferenssin Suomen valtuuskunta	Finnish Delegation to the Baltic Sea Parliamentary Conference	
K		B
K		berättelse till riksdagen
K	report submitted to Parliament	
KA		DI
KA		debattinitiativ
KA	motion for debate	
KAA		MI
KAA		medborgarinitiativ
KAA	citizens' initiative	
KK		SS
KK		skriftligt spörsmål
KK	written question	
KKV		SSS
KKV		spörsmålssvar
KKV		svar på ett skriftligt spörsmål
KKV	reply to a written question	
Kansalaisinfo		Infocentrum
Kansalaisinfo	Visitor´s Centre	
Kansallisen Kokoomuksen eduskuntaryhmä		Samlingspartiets riksdagsgrupp
Kansallisen Kokoomuksen eduskuntaryhmä		saml
Kansallisen Kokoomuksen eduskuntaryhmä	National Coalition Party Parliamentary Group	
Kansaneläkelaitoksen valtuutettujen kertomus		FPA:s fullmäktiges berättelse
Kansaneläkelaitoksen valtuutettujen kertomus		Folkpensionsanstaltens fullmäktiges berättelse
Kansaneläkelaitoksen valtuutettujen kertomus	Report of the Parliamentary Trustees of the Social Insurance Institution of Finland	
Kansaneläkelaitoksen valtuutetut		FPA:s fullmäktige
Kansaneläkelaitoksen valtuutetut		Folkpensionsanstaltens fullmäktige
Kansaneläkelaitoksen valtuutetut	Parliamentary Trustees of the Social Insurance Institution of Finland	
Kansaneläkelaitos		FPA
Kansaneläkelaitos		Folkpensionsanstalten
Kansaneläkelaitos	Social Insurance Institution of Finland	
Kela		FPA
Kela		Folkpensionsanstalten
Kela	Social Insurance Institution of Finland	
Kelan valtuutetut		FPA:s fullmäktige
Kelan valtuutetut		Folkpensionsanstaltens fullmäktige
Kelan valtuutetut	Parliamentary Trustees of the Social Insurance Institution of Finland	
Keltainen naisten huone		Gula damrummet
Keltainen naisten huone	Yellow Room	
Keskustan eduskuntaryhmä		Centerns riksdagsgrupp
Keskustan eduskuntaryhmä		cent
Keskustan eduskuntaryhmä	Centre Party Parliamentary Group	
Kristillisdemokraattinen eduskuntaryhmä		Kristdemokratiska riksdagsgruppen
Kristillisdemokraattinen eduskuntaryhmä		kd
Kristillisdemokraattinen eduskuntaryhmä	Christian Democratic Parliamentary Group	
KutJ		KhD
KutJ		kommun- och hälsovårdsdelegationen
KutJ	Municipal and Health Affairs Sub-committee	
LA		LM
LA		lagmotion
LA	Member of Parliament’s legislative motion	
LA	legislative motion	
LA	legislative motion submitted by a Member of Parliament	
LJL		VLF
LJL		lagförslag som godkänts att vila
LJL		lagförslag som lämnats vilande
LJL		lagförslag som vilar
LJL		vilande lagförslag
LJL	bill left in abeyance	
LTA		TBM
LTA		tilläggsbudgetmotion
LTA	supplementary budgetary motion	
LaV		LaU
LaV		lagutskottet
LaV	Legal Affairs Committee	
LiJ		TrD
LiJ		trafikdelegationen
LiJ	Communications Sub-committee	
LiV		KoU
LiV		kommunikationsutskottet
LiV		trafikutskottet
LiV	Transport and Communications Committee	
Liike Nyt -eduskuntaryhmä		Liike Nyt -rörelsens riksdagsgrupp
Liike Nyt -eduskuntaryhmä		liik
Liike Nyt -eduskuntaryhmä	Liike Nyt Movement's Parliamentary Group	
Länsi-Euroopan unionin WEU:n parlamentaarinen yleiskokous		Västeuropeiska unionens parlamentariska församling
Länsi-Euroopan unionin WEU:n parlamentaarinen yleiskokous	Parliamentary Assembly of the Western European Union	
Länsi-Euroopan unionin WEU:n parlamentaarinen yleiskokous	WEU PA	
Länsi-Euroopan unionin parlamentaarisen yleiskokouksen Suomen valtuuskunta		Finlands delegation i Västeuropeiska unionens parlamentariska församling
Länsi-Euroopan unionin parlamentaarisen yleiskokouksen Suomen valtuuskunta	Finnish Delegation to the Assembly of the Western European Union	
M		Ö
M		övrigt ärende
M	other matter	
MaJ		JbD
MaJ		jordbruksdelegationen
MaJ	Agriculture Sub-committee	
Maailmanpankin parlamentaarinen verkosto		Världsbankens parlamentariska nätverk
Maailmanpankin parlamentaarinen verkosto	Parliamentary Network on the World Bank	
MmV		JsU
MmV		jord- och skogsbruksutskottet
MmV	Agriculture and Forestry Committee	
Naton parlamentaarinen yleiskokous		Natos parlamentariska församling
Naton parlamentaarinen yleiskokous	NATO Parliamentary Assembly	
Naton parlamentaarisen yleiskokouksen Suomen valtuuskunta		Finlands delegation i Natos parlamentariska församling
Naton parlamentaarisen yleiskokouksen Suomen valtuuskunta	Finnish delegation to the NATO Parliamentary Assembly	
O		EÄ
O		utskottets eget ärende
O	committee-initiated matter	
PI		SU
PI		statsministerns upplysning
PI		upplysning från statsministern
PI	Prime Minister's announcement	
PJ		DO
PJ		dagordning
PJ		dagordning för plenum
PJ	agenda	
PJ	agenda for a plenary session	
PJ	plenary session agenda	
PN		NR
PN		Nordiska rådet
PN	Nordic Council	
PNE		TKF
PNE		förslag från talmanskonferensen
PNE		talmanskonferensens förslag
PNE	proposal of the Speaker’s Council	
PNL		TKFT
PNL		talmanskonferensens förteckning över lagförslag som godkänts att vila
PNL		talmanskonferensens förteckning över lagförslag som vilar
PNL		talmanskonferensens förteckning över vilande lagförslag
PNL	list of bills left in abeyance compiled by the Speaker’s Council	
PTK		PR
PTK		plenarprotokoll
PTK	minutes of a plenary session	
PTK	record of a plenary session	
PUH		anförande
PUH		inlägg
PUH		tal
PUH		yttrande
PUH	speaking turn	
PUH	speech	
PUH	‘the floor’	
Parlamenttien välinen liitto		IPU
Parlamenttien välinen liitto		Interparlamentariska unionen
Parlamenttien välinen liitto	IPU	
Parlamenttien välinen liitto	Inter-Parliamentary Union	
Parlamenttien välisen liiton Suomen ryhmän johtokunta		styrelsen för Finlands IPU-grupp
Parlamenttien välisen liiton Suomen ryhmän johtokunta		styrelsen för Finlands grupp i Interparlamentariska unionen
Parlamenttien välisen liiton Suomen ryhmän johtokunta	Executive Board of the Finnish Group of the Inter-Parliamentary Union IPU	
PeV		GrU
PeV		grundlagsutskottet
PeV	Constitutional Law Committee	
Perussuomalaisten eduskuntaryhmä		Sannfinländarnas riksdagsgrupp
Perussuomalaisten eduskuntaryhmä		saf
Perussuomalaisten eduskuntaryhmä	Finns Party Parliamentary Group	
Pikkuparlamentin auditorio		auditoriet i Lilla parlamentet
Pikkuparlamentin auditorio		auditoriet i riksdagens tillbyggnad
Pikkuparlamentin auditorio	Pikkuparlamentti Auditorium	
Pikkuparlamentin auditorio	auditorium of the Parliament Annex	
Pikkuparlamentin ravintola		Lilla parlamentets restaurang
Pikkuparlamentin ravintola		restaurangen i riksdagens tillbyggnad
Pikkuparlamentin ravintola	Pikkuparlamentti Restaurant	
Pikkuparlamentin ravintola	restaurant of the Parliament Annex	
Pikkuparlamentti		F-huset
Pikkuparlamentti		Lilla parlamentet
Pikkuparlamentti		hus F
Pikkuparlamentti		riksdagens tillbyggnad
Pikkuparlamentti	Building F	
Pikkuparlamentti	Little Parliament	
Pikkuparlamentti	Pikkuparlamentti	
Pohjois-Atlantin liiton parlamentaarinen yleiskokous		Natos parlamentariska församling
Pohjois-Atlantin liiton parlamentaarinen yleiskokous	NATO Parliamentary Assembly	
Pohjois-Atlantin liiton parlamentaarisen yleiskokouksen Suomen valtuuskunta		Finlands delegation i Natos parlamentariska församling
Pohjois-Atlantin liiton parlamentaarisen yleiskokouksen Suomen valtuuskunta	Finnish delegation to the NATO Parliamentary Assembly	
Pohjoismaiden neuvosto		NR
Pohjoismaiden neuvosto		Nordiska rådet
Pohjoismaiden neuvosto	Nordic Council	
Pohjoismaiden neuvoston Suomen valtuuskunnan kertomus		verksamhetsberättelse från Finlands delegation i Nordiska rådet
Pohjoismaiden neuvoston Suomen valtuuskunnan kertomus	Report of the Finnish Delegation to the Nordic Council	
Pohjoismaiden neuvoston Suomen valtuuskunta		Finlands delegation i Nordiska rådet
Pohjoismaiden neuvoston Suomen valtuuskunta		NRFD
Pohjoismaiden neuvoston Suomen valtuuskunta	Finnish Delegation to the Nordic Council	
PuV		FsU
PuV		försvarsutskottet
PuV	Defence Committee	
Puhemiehenaukio		Talmansplan
Puhemiehenaukio	Speaker’s Square	
Punainen naisten huone		Röda damrummet
Punainen naisten huone	Red Room	
Ravintola Pikkuparlamentti		Lilla parlamentets restaurang
Ravintola Pikkuparlamentti		restaurangen i riksdagens tillbyggnad
Ravintola Pikkuparlamentti	Pikkuparlamentti Restaurant	
Ravintola Pikkuparlamentti	restaurant of the Parliament Annex	
Ruotsalainen eduskuntaryhmä		Svenska riksdagsgruppen
Ruotsalainen eduskuntaryhmä		sv
Ruotsalainen eduskuntaryhmä	Swedish Parliamentary Group	
SKT		MFT
SKT		ärende vid muntlig frågestund
SKT		ärende vid muntlig frågetimme
SKT	question time query	
SiV		KuU
SiV		kulturutskottet
SiV	Education and Culture Committee	
SitJ		KvD
SitJ		kultur- och vetenskapsdelegationen
SitJ	Education and Science Sub-committee	
SopS		Finlands författningssamlings fördragsserie
SopS		FördrS
SopS		fördragsserien
SopS	Finnish Treaty Series	
SopS	Treaty Series of the Statute Book of Finland	
Sopimussarja		Finlands författningssamlings fördragsserie
Sopimussarja		FördrS
Sopimussarja		fördragsserien
Sopimussarja	Finnish Treaty Series	
Sopimussarja	Treaty Series of the Statute Book of Finland	
Sosialidemokraattinen eduskuntaryhmä		Socialdemokratiska riksdagsgruppen
Sosialidemokraattinen eduskuntaryhmä		sd
Sosialidemokraattinen eduskuntaryhmä	Social Democratic Parliamentary Group	
StV		ShU
StV		social- och hälsovårdsutskottet
StV	Social Affairs and Health Committee	
SuV		StoU
SuV		stora utskottet
SuV	Grand Committee	
Suomen Pankin tilintarkastajat		Finlands Banks revisorer
Suomen Pankin tilintarkastajat	Auditors of the Bank of Finland	
Suomen Pankki		Finlands Bank
Suomen Pankki	Bank of Finland	
Suomen itsenäisyyden juhlarahaston Sitran kertomus		jubileumsfonden för Finlands självständighet Sitras verksamhetsberättelse
Suomen itsenäisyyden juhlarahaston Sitran kertomus	Report of the Finnish Innovation Fund (Sitra)	
Suomen kanta		Finlands ståndpunkt
Suomen kanta	Finland’s position	
Suomen säädöskokoelma		Finlands författningssamling
Suomen säädöskokoelma		FörfS
Suomen säädöskokoelma		författningssamlingen
Suomen säädöskokoelma	Statute Book of Finland	
Suomen säädöskokoelman sopimussarja		Finlands författningssamlings fördragsserie
Suomen säädöskokoelman sopimussarja		FördrS
Suomen säädöskokoelman sopimussarja		fördragsserien
Suomen säädöskokoelman sopimussarja	Finnish Treaty Series	
Suomen säädöskokoelman sopimussarja	Treaty Series of the Statute Book of Finland	
SäädK		Finlands författningssamling
SäädK		FörfS
SäädK		författningssamlingen
SäädK	Statute Book of Finland	
TAA		BM
TAA		budgetmotion
TAA	budgetary motion	
TPA		AM
TPA		åtgärdsmotion
TPA	petitionary motion	
TS		SÄ
TS		subsidiaritetsärende
TS	subsidiarity issue	
TaV		EkU
TaV		ekonomiutskottet
TaV	Commerce Committee	
TeJ		AnD
TeJ		arbets- och näringsdelegationen
TeJ	Employment and Economy Sub-committee	
TrV		ReU
TrV		revisionsutskottet
TrV	Audit Committee	
TuV		FrU
TuV		framtidsutskottet
TuV	Committee for the Future	
TyV		AjU
TyV		arbetslivs- och jämställdhetsutskottet
TyV		arbetspolitiska utskottet
TyV	Employment and Equality Committee	
U-asia		U-ärende
U-asia	Union matter	
U-jatkokirjelmä		UK
U-jatkokirjelmä		kompletterande U-skrivelse
U-jatkokirjelmä	follow-up Union communication	
U-kirjelmä		U-skrivelse
U-kirjelmä		statsrådets skrivelse om ett EU-ärende
U-kirjelmä		statsrådets skrivelse om ett ärende som gäller Europeiska unionen
U-kirjelmä	Union communication	
U-kirjelmä	government communication on a European Union matter	
UJ		UK
UJ		kompletterande U-skrivelse
UJ	follow-up Union communication	
UPI		UPI
UPI		Utrikespolitiska institutet
UPI	FIIA	
UPI	Finnish Institute of International Affairs	
UTP-asiakirja		USP-utredning
UTP-asiakirja		statsrådets utredning om ett USP-ärende
UTP-asiakirja	Foreign and Security Policy Document	
UTP-jatkokirjelmä		USPKU
UTP-jatkokirjelmä		kompletterande USP-skrivelse
UTP-jatkokirjelmä	follow-up Foreign and Security Policy Document	
UTPJ		USPKU
UTPJ		kompletterande USP-skrivelse
UTPJ	follow-up Foreign and Security Policy Document	
UaV		UtU
UaV		utrikesutskottet
UaV	Foreign Affairs Committee	
Ulkopoliittinen instituutti		UPI
Ulkopoliittinen instituutti		Utrikespolitiska institutet
Ulkopoliittinen instituutti	FIIA	
Ulkopoliittinen instituutti	Finnish Institute of International Affairs	
VAA		VAL
VAA		fyllnadsval
VAA		förrätta val i plenum
VAA		kompletterande val
VAA		kompletteringsval
VAA		personval
VAA		val av organ
VAA		val i plenum
VAA		val som förrättas i plenum
VAA		val till organ
VAA	election held in a plenary session	
VAA	election of a parliamentary body	
VAA	election of officials	
VAA	plenary election	
VAA	supplementary election	
VAP		BEF
VAP		begäran om befrielse
VAP	request for a release from parliamentary responsibilities	
VEPS		Veps
VEPS		databas för riksdagsärenden
VEPS		riksdagens sakregister
VEPS		systemet för uppföljning av riksdagsärenden
VEPS		ärendedatabas
VEPS	parliamentary information management system	
VJL		ISL
VJL		icke stadfäst lag
VJL	unapproved bill	
VK		IP
VK		interpellation
VK	interpellation	
VK	motion of censure	
VN		SR
VN		statsrådets skrivelse om statsrådsmedlems bindningar
VN	government communication on the private interests of a member of the Government	
VNS		SRR
VNS		redogörelse från statsrådet
VNS		statsrådets redogörelse
VNS	government report	
VNS	report of the Government	
VNT		SRM
VNT		meddelande från statsrådet
VNT		statsrådets meddelande
VNT	government statement	
VNT	statement of the Government	
VTV		SRV
VTV		Statens revisionsverk
VTV	National Audit Office of Finland	
VaV		FiU
VaV		finansutskottet
VaV		statsutskottet
VaV	Finance Committee	
Valtion vakuusrahaston valtuusto		Statens säkerhetsfonds fullmäktige
Valtion vakuusrahaston valtuusto	Commissioners to the Government Guarantee Fund	
Valtiontalouden tarkastusvirasto		SRV
Valtiontalouden tarkastusvirasto		Statens revisionsverk
Valtiontalouden tarkastusvirasto	National Audit Office of Finland	
Valtiontalouden tarkastusviraston kertomus toiminnastaan		Statens revisionsverks berättelse om sin verksamhet
Valtiontalouden tarkastusviraston kertomus toiminnastaan	Report of the National Audit Office of Finland	
Valtiontalouden tarkastusviraston pääjohtaja		generaldirektören för Statens revisionsverk
Valtiontalouden tarkastusviraston pääjohtaja	Auditor General of the National Audit Office	
Valtiosali		Rikssalen
Valtiosali	Hall of State	
Valtiosali	Valtiosali	
Vasemmistoliiton eduskuntaryhmä		Vänsterförbundets riksdagsgrupp
Vasemmistoliiton eduskuntaryhmä		vänst
Vasemmistoliiton eduskuntaryhmä	Left Alliance Parliamentary Group	
VeJ		SkD
VeJ		skattedelegationen
VeJ	Tax Sub-committee	
Vihreä eduskuntaryhmä		Gröna riksdagsgruppen
Vihreä eduskuntaryhmä		gröna
Vihreä eduskuntaryhmä	Green Parliamentary Group	
Y-asia		I-ärende
Y-asia		integrationsärende
Y-asia	integration matter	
Y-jatkokirjelmä		kompletterande I-skrivelse
Y-jatkokirjelmä	follow-up integration communication	
Y-kirjelmä		I-skrivelse
Y-kirjelmä	integration communication	
Yle		Rundradion Ab
Yle		Yle
Yle	Finnish Broadcasting Company	
Yle	YLE	
Yleisradio Oy		Rundradion Ab
Yleisradio Oy		Yle
Yleisradio Oy	Finnish Broadcasting Company	
Yleisradio Oy	YLE	
Yleisradio Oy:n hallintoneuvosto		Rundradion Ab:s förvaltningsråd
Yleisradio Oy:n hallintoneuvosto		Yles förvaltningsråd
Yleisradio Oy:n hallintoneuvosto	Administrative Council of the Finnish Broadcasting Company	
